log_id,tender_id,module_name,workflow_execution_id,status,started_at,completed_at,duration_seconds,output_data,error_message,tracking_id,stage,message,error_details
52,3,,,completed,2025-11-20 10:07:05.455314,2025-11-20 02:07:18.063415,13,,,5730cce4-d3fa-4590-8535-8d881e814371,document_processing,"Successfully processed 4 pages, 1 chunks",
53,3,,,completed,2025-11-20 10:07:19.981846,2025-11-20 02:08:02.728558,43,,,9739e4d6-a727-4be4-9030-f2ea84bf67cc,document_processing,"Successfully processed 12 pages, 6 chunks",
54,3,,,completed,2025-11-20 10:08:04.950719,2025-11-20 02:08:36.116789,31,,,72f93b0f-2cba-40a1-abf5-59975277cd4e,document_processing,"Successfully processed 7 pages, 3 chunks",
55,3,,,completed,2025-11-20 10:08:37.884947,2025-11-20 02:08:54.347365,16,,,f53eac02-b2b6-4271-a916-b7c454cded13,document_processing,"Successfully processed 5 pages, 1 chunks",
56,3,,,completed,2025-11-20 10:08:55.906871,2025-11-20 02:09:05.808516,10,,,5dad005e-f5db-40f1-bac1-e0f94b9ae99d,document_processing,"Successfully processed 3 pages, 1 chunks",
57,3,,,failed,2025-11-20 10:09:08.057802,2025-11-20 02:09:12.246607,,,,26316182-ace2-4f6c-b9a5-f5b2b3ddd694,document_processing,,"Traceback (most recent call last):
  File ""C:\Users\remya\Desktop\DocumentParser_Hackathon\dcf.py"", line 1188, in process_tender_document
    cur.execute(""""""
psycopg2.errors.InvalidDatetimeFormat: invalid input syntax for type timestamp: ""1 October 2025 1500 hrs SGT""
LINE 4: ...                   submission_deadline = COALESCE('1 October...
                                                             ^

"
58,3,,,completed,2025-11-20 10:09:13.726370,2025-11-20 02:09:22.607834,9,,,a574d8f6-dbc4-42b7-8610-66a56b90fbf8,document_processing,"Successfully processed 3 pages, 1 chunks",
59,3,,,completed,2025-11-20 10:09:24.233765,2025-11-20 02:09:51.943331,28,,,6f611e40-f71e-44e6-89f3-ca5b04310221,document_processing,"Successfully processed 5 pages, 2 chunks",
60,3,,,completed,2025-11-20 10:09:54.272074,2025-11-20 02:11:50.088374,116,,,b3cd3baa-83e3-4251-a23f-8a511b7d9d4b,document_processing,"Successfully processed 28 pages, 14 chunks",
61,3,,,completed,2025-11-20 10:11:52.694043,2025-11-20 02:12:14.876803,22,,,94b38b11-1f9e-44b3-a434-213b25dafa2e,document_processing,"Successfully processed 5 pages, 2 chunks",
62,3,,,completed,2025-11-20 10:12:17.297606,2025-11-20 02:12:47.775432,30,,,2dd425c4-88ee-42b9-8af9-eaf97370781b,document_processing,"Successfully processed 6 pages, 2 chunks",
63,3,,,completed,2025-11-20 10:12:50.067585,2025-11-20 02:12:59.385570,9,,,d0bbe628-ec98-4518-baeb-3d21a2c6d573,document_processing,"Successfully processed 3 pages, 1 chunks",
64,3,,,completed,2025-11-20 10:13:01.747605,2025-11-20 02:13:33.551976,32,,,ca88ce37-adbb-4a7a-a67d-a33454b83b5c,document_processing,"Successfully processed 11 pages, 3 chunks",
65,3,,,completed,2025-11-20 10:57:10.381786,2025-11-20 02:57:40.660875,30,,,b532ba2d-d885-495b-a660-ca6b33caf550,document_processing,"Successfully processed 4 pages, 1 chunks",
66,3,,,completed,2025-11-20 10:57:49.290938,2025-11-20 02:58:52.215143,63,,,8ff1ee89-a856-4631-81fd-919b05ba4518,document_processing,"Successfully processed 5 pages, 2 chunks",
67,3,,,failed,2025-11-20 10:59:33.182347,2025-11-20 02:59:37.420004,,,,ba555823-eb9f-426b-9d1d-5eca8f0355ae,document_processing,,"Traceback (most recent call last):
  File ""C:\Users\remya\Desktop\DocumentParser_Hackathon\dcf.py"", line 1188, in process_tender_document
    cur.execute(""""""
psycopg2.errors.InvalidDatetimeFormat: invalid input syntax for type timestamp: ""1 October 2025 1500 hrs SGT""
LINE 4: ...                   submission_deadline = COALESCE('1 October...
                                                             ^

"
68,3,,,failed,2025-11-20 10:59:57.661919,2025-11-20 03:00:01.310369,,,,26316182-ace2-4f6c-b9a5-f5b2b3ddd694,document_processing,,"Traceback (most recent call last):
  File ""C:\Users\remya\Desktop\DocumentParser_Hackathon\dcf.py"", line 1188, in process_tender_document
    cur.execute(""""""
psycopg2.errors.InvalidDatetimeFormat: invalid input syntax for type timestamp: ""1 October 2025 1500 hrs SGT""
LINE 4: ...                   submission_deadline = COALESCE('1 October...
                                                             ^

"
